2018-19
FIRST TEAM

G: Tracy McGrady

THIRD TEAM

F: Carmelo Anthony
F: Kevin Garnett
C: Dwight Howard
G: Chauncey Billups
G: Dwyane Wade

2005-06
FIRST TEAM

F: LeBron James
F: Dirk Nowitzki
C: Shaquille O'Neal
G: Kobe Bryant
G: Steve Nash

SECOND TEAM

F: Elton Brand
F: Tim Duncan
C: Ben Wallace
G: Chauncey Billups
G: Dwyane Wade

THIRD TEAM

F: Carmelo anthony
F: Kevin Garnett
C: Yao Ming
G: Gilbert Arenas
G: Allen Iverson

2004-05
FIRST TEAM

F: Tim Duncan
F: Dirk Nowitzki
C: Shaquille O'Neal
G: Allen Iverson
G: Steve Nash

SECOND TEAM

F: Kevin Garnett
F: LeBron James
C: Amar'e Stoudemire
G: Ray Allen
G: Dwyane Wade

THIRD TEAM

F: Shawn Marion
F: Tracy McGrady
C: Ben Wallace
G: Gilbert Arenas
G: Kobe Bryant

2003-04
FIRST TEAM

F: Tim Duncan
F: Kevin Garnett
C: Shaquille O'Neal
G: Kobe Bryant
G: Jason Kidd

SECOND TEAM

F: Tracy McGrady
F: Peja Stojakovic
F: Jermaine O'Neal
C: Ben Wallace
G: Sam Cassell

THIRD TEAM

F: Ron Artest
F: Dirk Nowitzki
C: Yao Ming
G: Baron Davis
G: Michael Redd

2002-03
FIRST TEAM

F: Tim Duncan
F: Kevin Garnett
C: Shaquille O'Neal
G: Kobe Bryant
G: Tracy McGrady

SECOND TEAM

F: Dirk Nowitzki
F: Chris Webber
C: Ben Wallace
G: Allen Iverson
G: Jason Kidd

THIRD TEAM

F: Jamal Mashburn
F: Paul Pierce
C: Jermaine O'Neal
G: Stephon Marbury
G: Steve Nash

2001-02
FIRST TEAM

F: Tim Duncan
F: Tracy McGrady
C: Shaquille O'Neal
G: Kobe Bryant
G: Jason Kidd

SECOND TEAM

F: Kevin Garnett
F: Chris Webber
C: Dirk Nowitzki
G: Allen Iverson
G: Gary Payton

THIRD TEAM

F: Jermaine O'Neal
F: Ben Wallace
C: Dikembe Mutombo
G: Steve Nash
G: Paul Pierce

2000-01
FIRST TEAM

F: Tim Duncan
F: Chris Webber
C: Shaquille O'Neal
G: Allen Iverson
G: Jason Kidd

SECOND TEAM

F: Kevin Garnett
F: Vince Carter
C: Dikembe Mutombo
G: Kobe Bryant
G: Tracy McGrady

THIRD TEAM

F: Karl Malone
F: Dirk Nowitzki
C: David Robinson
G: Ray Allen
G: Gary Payton

1999-00
FIRST TEAM

F: Tim Duncan
F: Kevin Garnett
C: Shaquille O'Neal
G: Gary Payton
G: Jason Kidd

SECOND TEAM

F: Grant Hill
F: Karl Malone
C: Alonzo Mourning
G: Kobe Bryant
G: Allen Iverson

THIRD TEAM

F: Vince Carter
F: Chris Webber
C: David Robinson
G: Eddie Jones
G: Stephon Marbury

1998-99
FIRST TEAM

F: Tim Duncan
F: Karl Malone
C: Alonzo Mourning
G: Allen Iverson
G: Jason Kidd

SECOND TEAM

F: Grant Hill
F: Chris Webber
C: Shaquille O'Neal
G: Tim Hardaway
G: Gary Payton

THIRD TEAM

F: Kevin Garnett
F: Antonio McDyess
C: Hakeem Olajuwon
G: Kobe Bryant
G: John Stockton

1997-98
FIRST TEAM

F: Tim Duncan
F: Karl Malone
C: Shaquille O'Neal
G: Michael Jordan
G: Gary Payton

SECOND TEAM

F: Grant Hill
F: Vin Baker
C: David Robinson
G: Tim Hardaway
G: Rod Strickland

THIRD TEAM

F: Scottie Pippen
F: Glen Rice
C: Dikembe Mutombo
G: Reggie Miller
G: Mitch Richmond

1996-97
FIRST TEAM

F: Grant Hill
F: Karl Malone
C: Hakeem Olajuwon
G: Michael Jordan
G: Tim Hardaway

SECOND TEAM

F: Scottie Pippen
F: Glen Rice
C: Patrick Ewing
G: Gary Payton
G: Mitch Richmond

THIRD TEAM

F: Vin Baker
F: Anthony Mason
C: Shaquille O'Neal
G: Anfernee Hardaway
G: John Stockton

1995-96
FIRST TEAM

F: Scottie Pippen
F: Karl Malone
C: David Robinson
G: Michael Jordan
G: Anfernee Hardaway

SECOND TEAM

F: Grant Hill
F: Shawn Kemp
C: Hakeem Olajuwon
G: Gary Payton
G: John Stockton

THIRD TEAM

F: Charles Barkley
F: Juwan Howard
C: Shaquille O'Neal
G: Reggie Miller
G: Mitch Richmond

1994-95
FIRST TEAM

F: Scottie Pippen
F: Karl Malone
C: David Robinson
G: John Stockton
G: Anfernee Hardaway

SECOND TEAM

F: Charles Barkley
F: Shawn Kemp
C: Shaquille O'Neal
G: Gary Payton
G: Mitch Richmond

THIRD TEAM

F: Dennis Rodman
F: Detlef Schrempf
C: Hakeem Olajuwon
G: Reggie Miller
G: Clyde Drexler

1993-94
FIRST TEAM

F: Scottie Pippen
F: Karl Malone
C: Hakeem Olajuwon
G: John Stockton
G: Latrell Sprewell

SECOND TEAM

F: Charles Barkley
F: Shawn Kemp
C: David Robinson
G: Kevin Johnson
G: Mitch Richmond

THIRD TEAM

F: Derrick Coleman
F: Dominique Wilkins
C: Shaquille O'Neal
G: Gary Payton
G: Mark Price

1992-93
FIRST TEAM

F: Charles Barkley
F: Karl Malone
C: Hakeem Olajuwon
G: Michael Jordan
G: Mark Price

SECOND TEAM

F: Larry Johnson
F: Dominique Wilkins
C: Patrick Ewing
G: Joe Dumars
G: John Stockton

THIRD TEAM

F: Derrick Coleman
F: Scottie Pippen
C: David Robinson
G: Tim Hardaway
G: Drazen Petrovic

1991-92
FIRST TEAM

F: Chris Mullin
F: Karl Malone
C: David Robinson
G: Michael Jordan
G: Clyde Drexler

SECOND TEAM

F: Charles Barkley
F: Scottie Pippen
C: Patrick Ewing
G: Tim Hardaway
G: John Stockton

THIRD TEAM

F: Dennis Rodman
F: Kevin Willis
C: Brad Daugherty
G: Kevin Johnson
G: Mark Price

1990-91
FIRST TEAM

F: Charles Barkley
F: Karl Malone
C: David Robinson
G: Michael Jordan
G: Magic Johnson

SECOND TEAM

F: Chris Mullin
F: Dominique Wilkins
C: Patrick Ewing
G: Clyde Drexler
G: Kevin Johnson

THIRD TEAM

F: Bernard King
F: James Worthy
C: Hakeem Olajuwon
G: Joe Dumars
G: John Stockton

1989-90
FIRST TEAM

F: Charles Barkley
F: Karl Malone
C: Patrick Ewing
G: Michael Jordan
G: Magic Johnson

SECOND TEAM

F: Larry Bird
F: Tom Chambers
C: Hakeem Olajuwon
G: John Stockton
G: Kevin Johnson

THIRD TEAM

F: Chris Mullin
F: James Worthy
C: David Robinson
G: Joe Dumars
G: Clyde Drexler

1988-89
FIRST TEAM

F: Charles Barkley
F: Karl Malone
C: Hakeem Olajuwon
G: Michael Jordan
G: Magic Johnson

SECOND TEAM

F: Chris Mullin
F: Tom Chambers
C: Patrick Ewing
G: John Stockton
G: Clyde Drexler

THIRD TEAM

F: Terry Cummings
F: Dominique Wilkins
C: Robert Parish
G: Dale Ellis
G: Mark Price

1987-88
FIRST TEAM

F: Charles Barkley
F: Larry Bird
C: Hakeem Olajuwon
G: Michael Jordan
G: Magic Johnson

SECOND TEAM

F: Karl Malone
F: Dominique Wilkins
C: Patrick Ewing
G: John Stockton
G: Clyde Drexler

1986-87
FIRST TEAM

F: Kevin McHale
F: Larry Bird
C: Hakeem Olajuwon
G: Michael Jordan
G: Magic Johnson

SECOND TEAM

F: Charles Barkley
F: Dominique Wilkins
C: Moses Malone
G: Fat Lever
G: Isiah Thomas

1985-86
FIRST TEAM

F: Dominique Wilkins
F: Larry Bird
C: Kareem Abdul-Jabbar
G: Isiah Thomas
G: Magic Johnson

SECOND TEAM

F: Charles Barkley
F: Alex English
C: Hakeem Olajuwon
G: Sidney Moncrief
G: Alvin Robertson

1984-85
FIRST TEAM

F: Benard King
F: Larry Bird
C: Moses Malone
G: Isiah Thomas
G: Magic Johnson

SECOND TEAM

F: Terry Cummings
F: Ralph Sampson
C: Kareem Abdul-Jabbar
G: Sidney Moncrief
G: Michael Jordan

1983-84
FIRST TEAM

F: Bernard King
F: Larry Bird
C: Kareem Abdul-Jabbar
G: Isiah Thomas
G: Magic Johnson

